sites,latitude,longitude
ponto1,-9.4360271,-62.8376808
ponto2,-9.4360209,-62.8248005
ponto3,-9.4360142,-62.8119201
ponto4,-9.4360071,-62.7990398
ponto5,-9.4232377,-62.8376868
ponto6,-9.4232315,-62.8248069
ponto7,-9.4232248,-62.8119271
ponto8,-9.4104482,-62.8376928
ponto9,-9.4104421,-62.8248134
ponto10,-9.4104355,-62.811934
ponto11,-9.3976588,-62.8376987
ponto12,-9.3976527,-62.8248198
ponto13,-9.3976461,-62.8119409
ponto14,-9.3848694,-62.8377047
ponto15,-9.3848632,-62.8248262
ponto16,-9.2953699,-62.9149972
ponto17,-9.2953666,-62.902122
ponto18,-9.2825855,-62.9407498
ponto19,-9.2825832,-62.927875
ponto20,-9.2825803,-62.9150003
ponto21,-9.282577,-62.9021256
ponto22,-9.2825733,-62.8892508
ponto23,-9.269796,-62.9407519
ponto24,-9.2697936,-62.9278777
ponto25,-9.2697908,-62.9150034
ponto26,-9.2697837,-62.8892549
ponto27,-9.257004,-62.9278803
ponto28,-9.2570012,-62.9150065
ponto29,-9.2569979,-62.9021327
ponto30,-9.2569942,-62.8892589
ponto31,-9.2442168,-62.9407562
ponto32,-9.2442145,-62.9278829
ponto33,-9.2442117,-62.9150095
ponto34,-9.2442084,-62.9021362
ponto35,-9.2442046,-62.8892629
ponto36,-9.231431,-63.030869
ponto37,-9.2314272,-62.9407584
ponto38,-9.2314188,-62.9021397
ponto39,-9.2314151,-62.8892669
ponto40,-9.218639,-63.030861
ponto41,-9.2186425,-63.0051226
ponto42,-9.2186376,-62.9407605
ponto43,-9.2186325,-62.9150157
ponto44,-9.2186292,-62.9021432
ponto45,-9.2058525,-63.0179944
ponto46,-9.1930628,-63.0179937
ponto47,-9.1802732,-63.0179931
ponto48,-9.1674836,-63.0179925
ponto49,-9.1546939,-63.0179918
ponto50,-8.9852545,-58.577
ponto51,-8.9571166,-58.5550585
ponto52,-8.9565526,-58.5423904
ponto53,-8.969222,-58.5407689
ponto54,-8.9817103,-58.5394377
ponto55,-8.993922,-58.538301
ponto56,-9.0047371,-58.5357089
ponto57,-8.9809176,-58.5260933
ponto58,-8.9667205,-58.5275232
ponto59,-8.997828,-58.575602
ponto60,-8.9548234,-58.5299336
ponto61,-8.953033,-58.51775
ponto62,-8.967783,-58.512672
ponto63,-8.9906243,-58.5138653
ponto64,-8.976372,-58.500869
ponto65,-8.9640103,-58.5035315
ponto66,-8.952189,-58.499568
ponto67,-8.949327,-58.492034
ponto68,-8.962098,-58.489952
ponto69,-8.947786,-58.479181
ponto70,-8.959521,-58.47909
ponto71,-8.9429349,-58.5458073
ponto72,-8.983505,-58.56412
ponto73,-8.9710179,-58.5652611
ponto74,-8.9688949,-58.5526401
ponto75,-8.9828502,-58.5516377
ponto76,-8.9952752,-58.5491395
ponto77,-8.9642444,-58.6339261
ponto78,-8.990651,-58.603907
ponto79,-8.9856698,-58.6147059
ponto80,-8.98083,-58.626481
ponto81,-9.002411,-58.6083107
ponto82,-8.997627,-58.6202688
ponto83,-8.9923635,-58.6318705
ponto84,-9.0138126,-58.6132916
ponto85,-9.009979,-58.6250506
ponto86,-8.963207,-58.606457
ponto87,-9.0052624,-58.6372622
ponto88,-9.0006081,-58.6494288
ponto89,-9.024239,-58.616731
ponto90,-9.018891,-58.629647
ponto91,-9.015371,-58.641988
ponto92,-9.012296,-58.654084
ponto93,-9.0370124,-58.6227617
ponto94,-9.0329331,-58.6342078
ponto95,-9.0282989,-58.646192
ponto96,-9.023206,-58.6589361
ponto97,-8.9578849,-58.6171538
ponto98,-9.039789,-58.610352
ponto99,-9.0581713,-58.6026947
ponto100,-9.0697999,-58.607682
ponto101,-9.0817511,-58.6129627
ponto102,-8.99666,-58.563199
ponto103,-8.95311,-58.62934
ponto104,-8.9848599,-58.5886358
ponto105,-8.981058,-58.600108
ponto106,-8.974337,-58.6113662
ponto107,-8.9707168,-58.6235502
ponto108,-3.22661,-46.703027
ponto109,-3.227775,-46.691263
ponto110,-3.24028,-46.729
ponto111,-3.239557,-46.691362
ponto112,-3.239535,-46.678685
ponto113,-3.25179,-46.766254
ponto114,-3.252062,-46.754054
ponto115,-3.251852,-46.741058
ponto116,-3.252206,-46.729105
ponto117,-3.25283,-46.71641
ponto118,-3.251912,-46.703151
ponto119,-3.252476,-46.691926
ponto120,-3.251619,-46.678616
ponto121,-3.264253,-46.76611
ponto122,-3.264601,-46.753655
